Galway Girl,Ed Sheeran
Lego House,Ed Sheeran
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran
A Thousand Miles,Vanessa Carlton
I'm Yours,Jason Mraz
Better,Khalid
Dilemma (feat. Kelly Rowland),Nelly
Haven't Met You Yet,Michael Bublé
Lucky,Jason Mraz & Colbie Caillat
Boo'd Up,Ella Mai
I Will Always Love You,Whitney Houston
At My Worst (feat. Kehlani),Pink Sweat$
At My Worst,Pink Sweat$
Una Lady Como Tú,Manuel Turizo
1, 2, 3 (feat. De La Ghetto & Jason Derulo),Sofía Reyes
Whatcha Say,Jason Derulo
Trumpets,Jason Derulo
Marry Me,Jason Derulo
Levitating (feat. DaBaby),Dua Lipa
Pretty Please,Dua Lipa
Wellerman (Sea Shanty),Nathan Evans
Beauty and the Beast,Ariana Grande & John Legend
Something There,Emma Watson, Dan Stevens, Ewan McGregor, Ian McKellen, Emma Thompson, Nathan Mack & Gugu Mbatha-Raw
A Whole New World (Soundtrack Version),Lea Salonga & Brad Kane
Reflection,Lea Salonga
A Whole New World,Mena Massoud & Naomi Scott
A Whole New World (End Title),ZAYN & Zhavia
You'll Be In My Heart,Phil Collins
Venom (Music from the Motion Picture),Eminem
You Proof,Morgan Wallen
Die For You,The Weeknd
I Like You (A Happier Song) [feat. Doja Cat],Post Malone
Kiss Me More (feat. SZA),Doja Cat
Best Friend (feat. Doja Cat),Saweetie
Baby It's You,JoJo
I Want It That Way,Backstreet Boys
Beautiful Girls,Sean Kingston
Tide Is High (Get the Feeling),Atomic Kitten
Eternal Flame,Atomic Kitten
Complicated,Avril Lavigne
What the Hell,Avril Lavigne
Here's to Never Growing Up,Avril Lavigne
Sk8er Boi,Avril Lavigne
We Belong Together,Mariah Carey
Fallin' for You,Colbie Caillat
I Need a Girl, Pt. 2 [feat. Loon, Ginuwine & Mario Winans],P. Diddy
Fidelity,Regina Spektor
Unwritten,Natasha Bedingfield
Love Like This (feat. Sean Kingston),Natasha Bedingfield
Empire State of Mind (feat. Alicia Keys),JAY-Z
This Love,Maroon 5
Breakaway,Kelly Clarkson
Hey, Soul Sister (Country Mix),Train
My Love (feat. T.I.) [Single Version],Justin Timberlake
Misery Business,Paramore
Yeah! (feat. Lil Jon & Ludacris),Usher
My Boo,Usher & Alicia Keys
Burn (Confessions Special Edition Version),Usher
Confessions, Pt. II (Confessions Special Edition Version),Usher
Hey Daddy (Daddy's Home) [feat. Plies],Usher
Love in This Club, Pt. II (feat. Beyoncé & Lil Wayne),Usher
I Don't Mind (feat. Juicy J),Usher
There Goes My Baby,Usher
Whatever You Like,T.I.
Dead and Gone (feat. Justin Timberlake),T.I.
U Don't Know Me,T.I.
Let Me Love You,Mario
Realize,Colbie Caillat
Drop It Like It's Hot (feat. Pharrell Williams),Snoop Dogg
Young, Wild & Free (feat. Bruno Mars),Snoop Dogg & Wiz Khalifa
All the Right Moves,OneRepublic
Hero,Enrique Iglesias
Hero,Mariah Carey
Leavin',Jesse McCartney
Beautiful Soul,Jesse McCartney
Body Language (feat. T-Pain),Jesse McCartney
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe
Lollipop (feat. Static Major),Lil Wayne
Hey There Delilah,Plain White T's
Stickwitu,The Pussycat Dolls
Knock You Down (feat. Kanye West & Ne-Yo),Keri Hilson
Bad Day,Daniel Powter
Because of You,Ne-Yo
Mo Money Mo Problems (feat. Ma$e & Puff Daddy),The Notorious B.I.G.
Stay With Me,Sam Smith
Too Good at Goodbyes,Sam Smith
Dancing With A Stranger,Sam Smith & Normani
hate myself,Tate McRae
Older,Sasha Alex Sloan
Dancing With Your Ghost,Sasha Alex Sloan
when was it over? (feat. Sam Hunt),Sasha Alex Sloan
Lie,Sasha Alex Sloan
Smiling When I Die,Sasha Alex Sloan
House with No Mirrors,Sasha Alex Sloan
Thank God,Sasha Alex Sloan
Version of Me,Sasha Alex Sloan
Habits (Stay High),Tove Lo
Talking Body,Tove Lo
Close (feat. Tove Lo),Nick Jonas
Heat Waves,Glass Animals
I'll Be Missing You,Puff Daddy & Faith Evans
Ice Cream,BLACKPINK & Selena Gomez
Lifestyle (feat. Young Thug & Rich Homie Quan),Rich Gang
Type of Way,Rich Homie Quan
Astronaut In The Ocean,Masked Wolf
See You Again (feat. Charlie Puth),Wiz Khalifa
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
The Bones,Maren Morris
Thinkin Bout You,Frank Ocean
A Milli,Lil Wayne
What You Know,T.I.
Pop, Lock & Drop It (feat. Bow Wow & T-Pain) [Remix Version],Huey featuring Bow Wow & T-Pain
Freek-A-Leek,Petey Pablo
The Next Episode (feat. Snoop Dogg),Dr. Dre
Icy,Gucci Mane
Make Me Better (feat. Ne-Yo),Fabolous
Throw It In the Bag (feat. The-Dream),Fabolous
Right Thurr,Chingy
Shoulder Lean (Featuring T.I.),Young Dro
Independent (feat. Lil' Boosie and Lil' Phat),Webbie
Vans,The Pack
Lean Wit It, Rock Wit It,Dem Franchize Boyz featuring Peanut & Charlay
Hood N****,Gorilla Zoe
Since U Been Gone,Kelly Clarkson
Promiscuous (feat. Timbaland),Nelly Furtado
Beautiful,Christina Aguilera
With You,Chris Brown
If I Ain't Got You,Alicia Keys
Cater 2 U,Destiny's Child
U Got It Bad,Usher
Differences,Ginuwine
No One,Alicia Keys
Bartender (feat. Akon),T-Pain
Cupid's Chokehold / Breakfast in America (Radio Mix) [feat. Patrick Stump],Gym Class Heroes featuring Patrick Stump
Put Your Records On,Corinne Bailey Rae
Be Without You (Kendu Mix),Mary J. Blige
It Wasn't Me (feat. Ricardo Ducent),Shaggy
Don't Matter,Akon
You're Beautiful,James Blunt
Skyscraper,Demi Lovato
Heart Attack,Demi Lovato
This Is Me,Demi Lovato & Joe Jonas
Without Me,Halsey
I'm Not Mad,Halsey
Closer (feat. Halsey),The Chainsmokers
That's What I Like,Bruno Mars
bad guy,Billie Eilish
Havana (feat. Young Thug),Camila Cabello
Hold Tight,Justin Bieber
Beautiful Love (Free Fire),Justin Bieber
There's Nothing Holdin' Me Back,Shawn Mendes
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor
Sugar,Maroon 5
Work from Home (feat. Ty Dolla $ign),Fifth Harmony
Like Mariah (feat. Tyga),Fifth Harmony
Treat You Better,Shawn Mendes
Good Thing,Zedd & Kehlani
Intentions (feat. Quavo),Justin Bieber
I Love You's,Hailee Steinfeld
One Less Lonely Girl,Justin Bieber
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth
2002,Anne-Marie
you broke me first,Tate McRae
One More Night,Maroon 5
Left and Right,Charlie Puth & Jung Kook
Ako Muna,Yeng Constantino
La Bachata,Manuel Turizo
Abrázame,Camila
Todo Cambió,Camila
Coleccionista de Canciones,Camila
Mientes,Camila
Tú sin mí,Dread Mar I
Así Fue (En Vivo),Dread Mar I
Mahou,Myuk
Kimi No Toriko Best Loop,DJ Facemask
If You Love Me (Really Love Me),Brenda Lee
Yo Quisiera,Reik
Howl's Moving Castle - Merry-Go-Round of Life,Vitamin String Quartet
Can't Help Falling In Love,A*Teens
love is just a word,Jasmine Thompson & Calum Scott
Stand by Me,Boyce Avenue
Can’t Help Falling in Love,Boyce Avenue
Tears in Heaven,Boyce Avenue
In Case You Didn’t Know,Boyce Avenue
Thinking Out Loud,Boyce Avenue
Can You Feel the Love Tonight,Boyce Avenue & Connie Talbot
(Everything I Do) I Do It for You,Boyce Avenue & Connie Talbot
Endless Love,Boyce Avenue & Connie Talbot
Supermarket Flowers,Ed Sheeran
遇見,Yanzi Sun
喜歡你,王艺瑾
喜歡你,G.E.M.
Courage,Fish Leong
她說,JJ Lin
Twilight,JJ Lin
江南,JJ Lin
Beautiful,JJ Lin & G.E.M.
Practice Love,JJ Lin
If Only,JJ Lin
愛笑的眼睛,JJ Lin
Those Were the Days,JJ Lin
飛雲之下,韩红 & JJ Lin
Never Learn,JJ Lin
當你,JJ Lin
背對背擁抱,JJ Lin
一千年以後,JJ Lin
Despacito (Mandarin Version) [feat. JJ Lin],Luis Fonsi
豆漿油條,JJ Lin
小酒窩,JJ Lin
我還想她,JJ Lin
The Story of Us,JJ Lin
醉赤壁,JJ Lin
記得,JJ Lin
Love U U,JJ Lin
被風吹過的夏天,Jinsha & JJ Lin
Too Bad,JJ Lin
第幾個100天,JJ Lin
告白氣球,Jay Chou
簡單愛,Jay Chou
東風破,Jay Chou
安靜,Jay Chou
龍捲風,Jay Chou
開不了口,Jay Chou
手寫的從前,Jay Chou
上海一九四三,Jay Chou
屋頂,Landy Wen & Jay Chou
聽海,a-mei
聽海 (Live),Jacky Cheung
Rock & Roll,Eric Hutchinson
Love Like Woe,The Ready Set
Give Me Your Hand (Best Song Ever),The Ready Set
In the End,LINKIN PARK
Everytime We Touch,Cascada
Let Me Hold You (Turn Me On),Cheat Codes & Dante Klein
分手總要在雨天,Jacky Cheung
每天愛你多一些,Jacky Cheung
祗想一生跟你走,Jacky Cheung
祝福,Jacky Cheung
左右為難,Jacky Cheung & Ronald Cheng
我等到花兒也謝了,Jacky Cheung
你的名字 我的姓氏,Jacky Cheung
情書,Jacky Cheung
等你等到我心痛,Jacky Cheung
相思風雨中,Jacky Cheung & Karen Tong
李香蘭,Jacky Cheung
還是覺得你最好,Jacky Cheung
你最珍貴,Jacky Cheung & Francesca Kao
愛是永恆,Jacky Cheung
約定 (Live),Jacky Cheung
真愛,Jacky Cheung
一路上有你,Jacky Cheung
情已逝,Jacky Cheung
怎麼捨得你,Jacky Cheung
祇有你不知道,Jacky Cheung
今夜你不會來 (粵),Janice Vidal
今夜你會不會來 (國),Janice Vidal
今夜妳會不會來,Leon Lai
今夜你會不會來,Linda Wong
月亮代表我的心 (《華燈初上》主題曲),Ashin Chen
月亮代表我的心,Khalil Fong
The Moon Represents My Heart,HONG JIN YOUNG
The Moon Represents My Heart (Interlude from TV Drama "of Greed and Ants"),Vivian Koo
月亮代表誰的心,David Tao
傷心太平洋,Richie Jen
對面的女孩看過來,Richie Jen
我是一隻魚,Richie Jen
心太軟,Richie Jen
浪花一朵朵,Richie Jen, Ah Niu & Michael Wong
天涯,Richie Jen
春天花會開,Richie Jen
水晶,Yuki Hsu & Richie Jen
流著淚的妳的臉,Richie Jen
死不了,Richie Jen
三人遊,Khalil Fong
紅豆,Khalil Fong
四人遊,Khalil Fong & Fiona Sit
Nothing's Gonna Change My Love For You,Khalil Fong
特別的人,Khalil Fong
Love Song,Khalil Fong
好不容易,Khalil Fong
為妳寫的歌,Khalil Fong
黑白,Khalil Fong
大城小愛,Wang Leehom
你不知道的事,Wang Leehom
心跳,Wang Leehom
花田錯,Wang Leehom
唯一,Wang Leehom
依然愛你,Wang Leehom
另一個天堂,Wang Leehom
我們的歌,Wang Leehom
Kiss Goodbye,Wang Leehom
心中的日月,Wang Leehom
愛錯,Wang Leehom
Forever Love,Wang Leehom
Love a Little,Wang Leehom & 章子怡
蓋世英雄 (feat. 李岩 & 歐陽靖),Wang Leehom
你不在,Wang Leehom
愛的就是你,Wang Leehom
7 Billion To 1,Wang Leehom
愛 因為在心中,Wang Leehom
愛在哪裡,Wang Leehom
傳聞,Pakho Chau
還記得,Pakho Chau
我的宣言,Pakho Chau
請你愛我 (電影《原諒他 77 次》主題曲),Pakho Chau & Charlene Choi
下一站天后,Twins
死性不改,Twins & Boy'z
戀愛大過天,Twins
風箏與風,Twins
眼紅紅,Twins
我很想愛他,Twins
朋友仔,Twins
老鼠愛大米 (Cantonese),Twins
無賴,Ronald Cheng
三生有幸,Ronald Cheng
男子組,Jan Lamb, Leo Ku, Edmond Leung, William So & Ronald Cheng
閉目入神,Ronald Cheng
愛是最大權利,Ronald Cheng
晴天 陰天 雨天,Ronald Cheng
製造浪漫 (國),Ronald Cheng
甲乙丙丁 (國),Jacky Cheung, Andy Hui & Ronald Cheng
戒情人,Ronald Cheng
你的眼睛背叛你的心 (國),Ronald Cheng
別愛我,Ronald Cheng
我代你哭,Ronald Cheng
怪胎,Ronald Cheng
想念妳的愛 (國),Ronald Cheng
八 二十八 八十八 (電影 "金雞2" 主題曲),Ronald Cheng
紅豆,Ronald Cheng
Mongolian Girl,TIA RAY
你有没有看见一只小鹿,Bai Lu
抹去重來,Paula Au
That's It,Joe Cheng
For Some Reason,Zhang Li & Hooleeger
周杰伦 (feat. Yelo.C),恶童ETON
北極星,JJ Neo
All About You (feat. Cnballer & Cloud Wang),DP
我們不一樣,大壯
女神不说话,Dewen和拖鞋
花开忘忧,Zhou Shen
大魚,Zhou Shen
化身孤岛的鲸,Zhou Shen
起风了,Zhou Shen
你還要我怎樣,Joker Xue
追,Leslie Cheung
追 (Live),Jacky Cheung
The Scorpion King 2: Rise of a Warrior (Exclusive Clip),Russell Mulcahy
Hannah Montana: The Movie,Peter Chelsom
The X-Files: I Want to Believe: "Reinstated" Featurette,Unknown
Twilight Exclusive Clip,Catherine Hardwicke
Horton Hears a Who: "Anatomy of a Scene" Featurette,Unknown
Best of Atom 2008,Atom
Hips Don't Lie (feat. Wyclef Jean),Shakira
Shake It Off,Mariah Carey
Always On Time (feat. Ashanti),Ja Rule
Heathens,twenty one pilots
Stressed Out,twenty one pilots
Turn Me On,Kevin Lyttle
CAN'T STOP THE FEELING!,Justin Timberlake
7 Years,Lukas Graham
Black Beatles (feat. Gucci Mane),Rae Sremmurd
Don't Let Me Down (feat. Daya),The Chainsmokers
Panda,Desiigner
PILLOWTALK,ZAYN
I Took a Pill in Ibiza (Seeb Remix),Mike Posner
This Is What You Came For,Calvin Harris & Rihanna
Needed Me,Rihanna
Me, Myself & I,G-Eazy x Bebe Rexha
Cake by the Ocean,DNCE
Ride,twenty one pilots
One Call Away,Charlie Puth
i hate u, i love u (feat. Olivia O'Brien),gnash
Gold,Kiiara
Die a Happy Man,Thomas Rhett
Jumpman,Drake & Future
Hotline Bling,Drake
Don't Mind,Kent Jones
Sit Still, Look Pretty,Daya
Stand By You,Rachel Platten
Peter Pan,Kelsea Ballerini
679 (feat. Monty),Fetty Wap
Break Up in a Small Town,Sam Hunt
Fight Song,Rachel Platten
The Hills,The Weeknd
One Man Band,Old Dominion
Baby (feat. Ludacris),Justin Bieber
bad guy,Billie Eilish & Justin Bieber
As I Am (feat. Khalid),Justin Bieber
Gas Pedal (feat. Justin Bieber & Iamsu!) [Remix],Sage the Gemini
Anyone,Justin Bieber
Deserve You,Justin Bieber
There She Go (feat. Lil Uzi Vert),Justin Bieber
Love You Different (feat. Beam),Justin Bieber
Sorry (Latino Remix) [feat. J Balvin],Justin Bieber
期待愛 (feat. 金莎),JJ Lin
愛的魔法,Jinsha
半城煙沙(合唱版)·新天龍八部懷舊服推廣曲,Vae Xu & Jinsha
不可思議,Jinsha
最後一個夏天,Jinsha
大小姐,Jinsha
夢想的翅膀 (feat. 阿杜, 金莎 & By2),JJ Lin
換季,Jinsha
最近好嗎,Jinsha
你的嘴,Jinsha
你可以不用給我答案,Jinsha
有点甜 (feat. By2),Silence Wang
万有引力,Silence Wang
小星星,Silence Wang
不分手的恋爱,Silence Wang
后会无期 (feat. 汪苏泷),徐良
眼泪落下之前 (《暗恋·橘生淮南》电影插曲),Silence Wang
一笑倾城(《微微一笑很倾城》电视剧片头曲),Silence Wang
忽而今夏(《忽而今夏》电视剧主题曲),Silence Wang
风度,Silence Wang
剑魂,Silence Wang
你让我懂,Silence Wang
年轮,Silence Wang
第一首情歌,Silence Wang
幸福是被你需要,Silence Wang
分手季节,Silence Wang
我也不知道,Silence Wang
海绵宝宝,Silence Wang
Don't Take the Girl,Tim McGraw
凉凉 (with 張碧晨),Aska Yang
年輪,Diamond Zhang
渡紅塵,Diamond Zhang
約定 (Live),Eason Chan
約定,Where Chou
約定,Faye Wong
Arcade,Duncan Laurence
In the Name of Love,Martin Garrix & Bebe Rexha
Reckless,Madison Beer
Glimpse of Us (Her Perspective),Lindsey Jade
Deeper Than the Holler,Randy Travis
Hard to Love,Lee Brice
Just the Way,Parmalee & Blanco Brown
DIAMOND,Niko Moon
GOOD TIME,Niko Moon
Cool Anymore (feat. Julia Michaels),Jordan Davis
We Got History,Mitchell Tenpenny
Lil Bit,Nelly & Florida Georgia Line
The Git Up,Blanco Brown
She Had Me At Heads Carolina,Cole Swindell
One Too Many,Keith Urban & P!nk
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
This is Us,Jimmie Allen & Noah Cyrus
IF YOU GO DOWN (I'M GOIN' DOWN TOO),Kelsea Ballerini
23,Sam Hunt
Wishful Drinking,Ingrid Andress & Sam Hunt
Good and Gone,Mitchell Tenpenny
When It Rains It Pours,Luke Combs
Truth About You,Mitchell Tenpenny
Maroon,Taylor Swift
You're On Your Own, Kid,Taylor Swift
Vigilante Shit,Taylor Swift
Blank Space,Taylor Swift
Sweet Nothing,Taylor Swift
Mastermind,Taylor Swift
I Quit Drinking,Kelsea Ballerini & LANY
Work Out,J. Cole
I Like Dat,T-Pain & Kehlani
Nights Like This (feat. Ty Dolla $ign),Kehlani
Replay,SHINee
Just the Way You Are,Bruno Mars
Count on Me,Bruno Mars
First Love (Remastered 2014),Hikaru Utada
Simple and Clean,Hikaru Utada
Must've Never Met You,Luke Combs
Houston, We Got a Problem,Luke Combs
True Colors,Anna Kendrick & Justin Timberlake
Cold Beer Calling My Name (feat. Luke Combs),Jameson Rodgers
Let Me Down Slowly,Alec Benjamin
Dive,Ed Sheeran
Dive (Recorded At Sound Stage Nashville),Luke Combs
Enchanted,Taylor Swift
The Best Day,Taylor Swift
Addicted,Stevie Hoang
Little Things,Stevie Hoang
Letting Go,Stevie Hoang
2 Much,Justin Bieber
Drinkin' Problem,Midland
The Great War,Taylor Swift
Paris,Taylor Swift
Dear Reader,Taylor Swift
All Too Well (Taylor's Version),Taylor Swift
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift
betty,Taylor Swift
Death By A Thousand Cuts,Taylor Swift
Ain't Nothing 'Bout You,Brooks & Dunn
Cornelia Street,Taylor Swift
Cruel Summer,Taylor Swift
I Forgot That You Existed,Taylor Swift
Lover,Taylor Swift
The Man,Taylor Swift
You Need To Calm Down,Taylor Swift
The Archer,Taylor Swift
Afterglow,Taylor Swift
I Think He Knows,Taylor Swift
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift
It’s Nice To Have A Friend,Taylor Swift
Miss Americana & The Heartbreak Prince,Taylor Swift
Daylight,Taylor Swift
Paper Rings,Taylor Swift
London Boy,Taylor Swift
Soon You’ll Get Better (feat. The Chicks),Taylor Swift
False God,Taylor Swift
Street Called Main,Keith Urban
Beers and Sunshine,Darius Rucker
Middle Fingers,The Reklaws
Both of Us (feat. Taylor Swift),B.o.B
Anti-Hero,Taylor Swift
Anti-Hero (ILLENIUM Remix),Taylor Swift & ILLENIUM
Made You Look,Meghan Trainor
Leave Before You Love Me,Marshmello & Jonas Brothers
Bless the Broken Road,Rascal Flatts
What Hurts the Most,Rascal Flatts
You're Still the One,Shania Twain
Not Your Barbie Girl,Ava Max
i'm so gone,Tate McRae
I Like You so Much, You’ll Know It,AVIWKILA
我多喜歡你, 你會知道 (劇集《致我們單純的小美好》推廣曲),Wang Jun Qi
Purpose,Justin Bieber
More Than Whiskey Does,Mitchell Tenpenny
Do You,Mitchell Tenpenny
Million Days (feat. Claire Ridgely),SABAI & Hoang
If It Weren't For You,FINMAR
Crying Out For Me,Mario
月台上碰面,Fiona Sit
糖不甩,Fiona Sit
告別我,Fiona Sit
勁歌. 金曲2 (情歌王),Leo Ku
愛與誠,Leo Ku
勁歌金曲,Leo Ku
小小癡纏,Fiona Sit
I See the Light,Mandy Moore & Zachary Levi
Good Thing,Mitchell Tenpenny
To the Man Who Let Her Go,Tyler Shaw
Clockwork,Easton Corbin
Howl's Moving Castle - Merry Go Round of Life - Main Theme,Geek Music
The Feeling (feat. Halsey),Justin Bieber
With You,Tyler Shaw
Wait for You,Elliott Yamin
I Do,Astrid S & Brett Young
Lights Down Low (feat. gnash),MAX
Still Into You,Paramore
